"","Kingdom","Supergroup","Division","Class","Order","Family","Genus","Species"
"ASV1118","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chloromonas","Chloromonas_oogama"
"ASV1136","Eukaryota","Alveolata","Ciliophora","Oligohymenophorea","Peritrichia_2","Sessilida","Vorticella","Vorticella_convallaria"
"ASV1139","Eukaryota","Alveolata","Ciliophora","CONThreeP","CONThreeP_X","CONThreeP_XX","CONThreeP_XXX","CONThreeP_XXX_sp."
"ASV1141","Eukaryota","Opisthokonta","Mesomycetozoa","Ichthyosporea","Ichthyosphonida","Order_Ichthyosphonida","Order_Ichthyosphonida","Order_Ichthyosphonida"
"ASV1179","Eukaryota","Rhizaria","Cercozoa","Filosa-Thecofilosea","Cryomonadida","Cryomonadida_X","Cryomonadida_XX","Cryomonadida_XX_sp."
"ASV1184","Eukaryota","Alveolata","Ciliophora","Phyllopharyngea","Suctoria","Tokophryidae","Tokophrya","Tokophrya_quadripartita"
"ASV1187","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","Peridinium_sp."
"ASVf1","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Cryptomonas","Cryptomonas_curvata"
"ASVf3","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Pyrenomonadales","Pyrenomonadaceae","Rhodomonas","Rhodomonas_minuta"
"ASVf4","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Hypotrichia","Halteriidae","Halteriidae_X","Halteriidae_X_sp."
"ASVf5","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Family_Chlamydomonadales_X","Family_Chlamydomonadales_X"
"ASVf6","Eukaryota","Archaeplastida","Streptophyta","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Citrullus","Citrullus_lanatus"
"ASVf7","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Suessiales","Suessiaceae","Asulcocephalium","Asulcocephalium_miricentonis"
"ASVf10","Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea","Branchiopoda","Bosmina","Bosmina_longirostris"
"ASVf14","Eukaryota","Opisthokonta","Metazoa","Division_Metazoa","Division_Metazoa","Division_Metazoa","Division_Metazoa","Division_Metazoa"
"ASVf15","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Cryptomonas","Cryptomonas_sp."
"ASVf17","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium_hirundinella"
"ASVf19","Eukaryota","Rhizaria","Cercozoa","Filosa-Imbricatea","Filosa-Imbricatea_X","Novel-clade-2","Novel-clade-2_X","Novel-clade-2_X_sp."
"ASVf22","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Cryptomonas","Cryptomonas_marssonii"
"ASVf23","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade-F","Chrysophyceae_Clade-F_X","Chrysophyceae_Clade-F_X_sp."
"ASVf29","Eukaryota","Opisthokonta","Metazoa","Arthropoda","Class_Arthropoda","Class_Arthropoda","Class_Arthropoda","Class_Arthropoda"
"ASVf31","Eukaryota","Opisthokonta","Fungi","Chytridiomycota","Chytridiomycotina","Chytridiomycetes","Rhizophydium","Rhizophydium_chlorogonii"
"ASVf35","Eukaryota","Alveolata","Perkinsea","Perkinsida","Perkinsida_X","Perkinsida_XX","Perkinsida_XXX","Perkinsida_XXX_sp."
"ASVf38","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Teleaulax","Teleaulax_acuta"
"ASVf44","Eukaryota","Stramenopiles","Opalozoa","Bicoecea","Pseudodendromonadales","Pseudodendromonadales_X","Pseudodendromonadales_XX","Pseudodendromonadales_XX_sp."
"ASVf45","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Order_Bacillariophyta_X","Order_Bacillariophyta_X","Order_Bacillariophyta_X"
"ASVf46","Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda","Eudiaptomus","Eudiaptomus_sp."
"ASVf48","Eukaryota","Rhizaria","Cercozoa","Novel-clade-10-12","Novel-clade-10","Novel-clade-10_X","Novel-clade-10_XX","Novel-clade-10_XX_sp."
"ASVf50","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Sphaeropleales","Sphaeropleales_X","Ankyra","Ankyra_judayi"
"ASVf53","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Tintinnida","TIN_03","Tintinnopsis_03","Tintinnopsis_03_sp."
"ASVf54","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade-B2","Naegeliella","Naegeliella_flagellifera"
"ASVf57","Eukaryota","Stramenopiles","Ochrophyta","Synurophyceae","Synurales","Synurales_X","Synurales_XX","Synurales_XX_sp."
"ASVf58","Eukaryota","Hacrobia","Katablepharidophyta","Katablepharidaceae","Katablepharidales","Katablepharidales_X","Katablepharidales_XX","Katablepharidales_XX_sp."
"ASVf59","Eukaryota","Opisthokonta","Metazoa","Craniata","Craniata_X","Archosauria","Melopsittacus","Melopsittacus_undulatus"
"ASVf65","Eukaryota","Alveolata","Apicomplexa","Colpodellidea","Colpodellida","Chrompodellids_CHR1_XX","Chrompodellids_CHR1_XXX","Chrompodellids_CHR1_XXX_sp."
"ASVf67","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Strombidiida","Pelagostrombidiidae","Limnostrombidium","Limnostrombidium_sp."
"ASVf68","Eukaryota","Stramenopiles","Ochrophyta","Division_Ochrophyta","Division_Ochrophyta","Division_Ochrophyta","Division_Ochrophyta","Division_Ochrophyta"
"ASVf69","Eukaryota","Stramenopiles","Pseudofungi","MAST-2","MAST-2A","MAST-2A_X","MAST-2A_XX","MAST-2A_XX_sp."
"ASVf70","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Choreotrichida","Strobilidiidae_D","Rimostrombidium_D","Rimostrombidium_D_sp."
"ASVf75","Eukaryota","Stramenopiles","Opalozoa","MAST-12","MAST-12C","MAST-12C_X","MAST-12C_XX","MAST-12C_XX_sp."
"ASVf79","Eukaryota","Alveolata","Apicomplexa","Gregarinomorphea","Cryptogregarinorida","Cryptosporidiidae","Cryptosporidium","Cryptosporidium_sp."
"ASVf87","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Cryptomonas","Cryptomonas_pyrenoidifera"
